year,value,units,variable_code
2023,Level 1,BB,Mining
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 1,CC,Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 3,CC15,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
2023,Level 4,CC151,Beverage and Tobacco Product Manufacturing
